name,auditor,CG,index,sector,free_float,is_trust
A,"DHARMNITI AUDITING CO., LTD.",3,['SET'],Property Development,25.86,False
A5,"D I A INTERNATIONAL AUDIT CO.,LTD.",0,['mai'],Services,25.01,False
AAV,EY OFFICE LIMITED,5,"['sSET', 'SETTHSI']",Transportation & Logistics,58.59,False
ABICO,EY OFFICE LIMITED,3,['mai'],Agro & Food Industry,32.61,False
ABM,NPS SIAM AUDIT LIMITED.,4,['mai'],Resources,34.67,False
ABPIF,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['SET'],Energy & Utilities,60.40,True
ACAP,"ANS AUDIT CO., LTD.",0,['mai'],Financials,60.49,False
ACC,KARIN AUDIT COMPANY LIMITED,0,['SET'],Home & Office Products,50.34,False
ACE,PRICEWATERHOUSE COOPERS ABAS LIMITED,4,['SET100'],Energy & Utilities,21.75,False
ACG,KPMG PHOOMCHAI AUDIT LIMITED,4,['SET'],Automotive,24.93,False
ADB,KPMG PHOOMCHAI AUDIT LIMITED,4,['mai'],Industrial,37.56,False
ADVANC,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",5,"['SET50', 'SETCLMV', 'SETTHSI']",Information & Communication Technology,36.23,False
AEC,"BPR AUDIT AND ADVISORY CO., LTD.",4,['SET'],Finance & Securities,59.68,False
AEONTS,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",4,['SET100'],Finance & Securities,30.87,False
AF,EY OFFICE LIMITED,5,['mai'],Financials,20.60,False
AFC,C&A ACCOUNTING FIRM,0,['SET'],Fashion,43.31,False
AGE,EY OFFICE LIMITED,4,['SET'],Energy & Utilities,44.27,False
AH,EY OFFICE LIMITED,4,['sSET'],Automotive,49.55,False
AHC,"DHARMNITI AUDITING CO., LTD.",4,['SET'],Health Care Services,58.86,False
AI,SIAM TRUTH AUDIT COMPANY LIMITED,0,['sSET'],Energy & Utilities,49.90,False
AIE,SIAM TRUTH AUDIT COMPANY LIMITED,0,['mai'],Resources,26.27,False
AIMCG,"GRANT THORNTON CO., LTD.",0,['SET'],Property Fund & REITs,94.81,True
AIMIRT,EY OFFICE LIMITED,0,['SET'],Property Fund & REITs,91.93,True
AIRA,EY OFFICE LIMITED,5,['mai'],Financials,25.74,False
AIT,EY OFFICE LIMITED,4,['sSET'],Information & Communication Technology,71.51,False
AJ,DR.VIRACH AND ASSOCIATES,3,['sSET'],Packaging,38.22,False
AJA,KARIN AUDIT COMPANY LIMITED,0,['SET'],Home & Office Products,67.05,False
AKP,KARIN AUDIT COMPANY LIMITED,5,['mai'],Services,48.51,False
